artist,song,genre,label,language,llm_cost,llm_tokens,producers,songwriters
Skrillex & Diplo,Where Are U Now,"Electronic Dance Music, Dancehall","Owsla, Mad Decent",English,0.001382,1299,"Skrillex, Diplo","Justin Bieber, Skrillex, Diplo"
Ariana Grande,"Thank U, Next","Pop, R&B",Republic Records,English,0.0016700000000000003,1588,"Tommy Brown, Charles Anderson, Michael Foster","Ariana Grande, Tayla Parx, Victoria Monét"
Taylor Swift,Blank Space,Electropop,"Big Machine, Republic Records",English,0.001297,1224,"Max Martin, Shellback","Taylor Swift, Max Martin, Shellback"
Tove Lo & Hippie Sabotage,Habits (Stay High),"Pop, Electropop","Universal Music, Island, Polydor",English,0.004082,3964,"Ludvig Söderberg, Jakob Jerlström","Tove Lo, Ludvig Söderberg, Jakob Jerlström"
Shawn Mendes,There's Nothing Holdin' Me Back,"Pop, Rock, Blues, R&B",Island Records,English,0.004155,4044,"Teddy Geiger, Andrew Maury","Shawn Mendes, Teddy Geiger, Geoff Warburton, Scott Harris"
Ed Sheeran,Castle On The Hill,Pop,Unknown,English,0.0015109999999999998,1441,"Ed Sheeran, Benny Blanco","Ed Sheeran, Benny Blanco"
Jason Derulo & 2 Chainz,Talk Dirty,"Pop, R&B, Hip-Hop",Warner Records,English,0.001794,1685,Ricky Reed,"Jason Derulo, 2 Chainz, Jason Evigan, Sean Douglas, Ori Kaplan, Tamir Muskat, Tomer Yosef, Ricky Reed"
The Weeknd,Earned It (Fifty Shades Of Grey),"R&B, Soul",Republic Records,English,0.001739,1623,"Stephan Moccio, Jason 'DaHeala' Quenneville, Abel Tesfaye, Ahmad Balshe","Stephan Moccio, Jason 'DaHeala' Quenneville, Abel Tesfaye, Ahmad Balshe"
Train,"Hey, Soul Sister","Pop, Rock",Columbia Records,English,0.001523,1444,Unknown,"Pat Monahan, Amund Bjørklund, Espen Lind"
Maroon 5,One More Night,Reggae-influenced pop,Unknown,English,0.001457,1374,"Shellback, Max Martin","Adam Levine, Shellback, Max Martin, Savan Kotecha"
Fun.,Some Nights,"Alternative Rock, Power Pop, Progressive Pop",Fueled by Ramen,English,0.0015179999999999998,1430,Jeff Bhasker,"Jeff Bhasker, Nate Ruess, Andrew Dost, Jack Antonoff"
Kygo & Selena Gomez,It Ain't Me,"EDM, Dance-pop, Electropop, Tropical house","Interscope Records, Sony, Ultra",English,0.001314,1215,"Kygo, Andrew Watt, Louis Bell","Kygo, Selena Gomez, Brian Lee, Ali Tamposi, Andrew Watt"
Katy Perry & Snoop Dogg,California Gurls,"Disco, Pop",Capitol Records,English,0.001742,1651,"Dr. Luke, Max Martin, Benny Blanco","Katy Perry, Snoop Dogg, Bonnie McKee, Dr. Luke, Max Martin, Benny Blanco"
Foster the People,Pumped Up Kicks,Indie Pop,"Startime International, Columbia Records",English,0.009823,9695,Mark Foster,Mark Foster
Lady GaGa,Bad Romance,"Electropop, Dance-pop",Interscope Records,English,0.0016349999999999997,1561,"Lady Gaga, RedOne","Lady Gaga, RedOne"
Maroon 5 & Wiz Khalifa,Payphone,Pop,Unknown,English,0.001746,1666,"Benny Blanco, Shellback, Robopop","Adam Levine, Wiz Khalifa, Ammar Malik"
Khalid & Normani,Love Lies,"R&B, Pop",RCA Records,English,0.001783,1690,"Charlie Handsome, Digi","Khalid, Normani, Tayla Parx, Jamil Chammas, Ryan Vojtesak"
Lizzo,Truth Hurts,"Trap, Hip Hop, Pop","Nice Life Recording Company, Atlantic Records",English,0.0017160000000000003,1632,"Steven 'Tele' Cheung, Ricky Reed","Lizzo, Jesse Saint John"
Sam Smith,I'm Not The Only One,"Soul, Ballad",Capitol Records,English,0.001251,1170,"Jimmy Napes, Steve Fitzmaurice","Sam Smith, Jimmy Napes"
Miley Cyrus,Wrecking Ball,Pop,RCA Records,English,0.001763,1670,"Dr. Luke, Cirkut","Mozella, Stephan Moccio, Sacha Skarbek, Dr. Luke, Cirkut, David Kim"
Iggy Azalea & Charli XCX,Fancy,"Electro-hop, Electropop, Pop rap",Def Jam Recordings,English,0.015648000000000002,15476,"The Invisible Men, The Arcade","Iggy Azalea, Charli XCX"
Kendrick Lamar,Humble,Hip Hop,"Top Dawg Entertainment, Aftermath Entertainment, Interscope Records",English,0.0013950000000000002,1302,"Mike Will Made It, Pluss","Kendrick Lamar, Mike Will Made It, Pluss"
Marshmello & Anne-Marie,Friends,Pop,Asylum Records,English,0.00174,1662,Marshmello,"Marshmello, Anne-Marie, Nat Dunn"
Rihanna & Eminem,The Monster,Unknown,Unknown,Unknown,0.00155,1494,Unknown,Unknown
Cee-Lo Green,F**k You/Forget You,"Soul, R&B",Unknown,English,0.000812,736,Unknown,"Thomas Callaway, Bruno Mars, Philip Lawrence, Ari Levine"
Nico & Vinz,Am I Wrong,Pop,Warner Music,English,0.001281,1194,William Wiik Larsen,"Nico Sereba, Vincent Dery, Abdoulie Jallow, William Wiik Larsen"
The Black Eyed Peas,I Gotta Feeling,"Pop, Dance-pop, Electropop",Interscope Records,English,0.001772,1675,"David Guetta, Frédéric Riesterer","will.i.am, apl.de.ap, Taboo, David Guetta, Frédéric Riesterer"
G-Eazy & Bebe Rexha,"Me, Myself & I","Hip-Hop, Pop",RCA Records,English,0.0036820000000000004,3559,"Bebe Rexha, TMS, Michael Keenan, Christoph Andersson, G-Eazy","G-Eazy, Bebe Rexha, Lauren Christy"
Drake,In My Feelings,"Hip Hop, Trap",Young Money Entertainment,English,0.002009,1782,"TrapMoneyBenny, BlaqNmilD","Aubrey Graham, Benjamin Workman, N. R. Malik, D. Wilson, J. Jackson, B. Hazzard, A. Hernandez, C. Martin, D. Moore, O. Harvey, P. Smith, R. Martinez, T. Lee, J. Johnson, A. Smith, D. Jones, D. Carter, J. Preyan, M. Samuels, N. Shebib, A. Feeney, A. Graham, A. Hernandez, B. Workman, D. Wilson, D. Moore, J. Jackson, J. Preyan, M. Samuels, N. Shebib, N. R. Malik, O. Harvey, P. Smith, R. Martinez, T. Lee"
Kungs & Cookin' On 3 Burners,This Girl,"Funk, Dance",House of Barclay,English,0.001213,1115,"Kungs, Cookin' On 3 Burners","Ivan Khatchoyan, Jake Mason, Lance Ferguson"
David Guetta & Usher,Without You,"Dance-pop, house","EMI, Virgin",English,0.001559,1466,David Guetta,"David Guetta, Taio Cruz, Usher, Giorgio Tuinfort, Frédéric Riesterer"
Nicki Minaj,Starships,"Eurodance, Europop, Euro house","Young Money, Cash Money, Universal Republic",English,0.001825,1714,"RedOne, Rami Yacoub, Carl Falk","Nicki Minaj, Nadir Khayat, Carl Falk, Rami Yacoub, Bilal Hajji, Wayne Hector"
"Jessie J, Nicki Minaj & Ariana Grande",Bang Bang,Pop,"Republic Records, Lava Records",English,0.0018150000000000002,1699,"Max Martin, Rickard Göransson, Ilya","Max Martin, Savan Kotecha, Rickard Göransson, Ariana Grande, Nicki Minaj"
Avicii,"Hey, Brother","Dance, Electronic, Bluegrass",Universal Music,English,0.001404,1317,Avicii,"Avicii, Ash Pournouri, Salem Al Fakir, Vincent Pontare, Veronica Maggio"
The Weeknd & Daft Punk,I Feel It Coming,"R&B, Funk, Disco, Pop","XO, Republic Records",English,0.004014,3894,"Daft Punk, The Weeknd, Doc McKinney, Cirkut","The Weeknd, Daft Punk, Doc McKinney, Cirkut, Eric Chedeville"
Vance Joy,Riptide,"Indie pop, Indie folk",Atlantic Records,English,0.0013870000000000002,1314,"Vance Joy, Edwin White",Vance Joy
XXXTentacion,Sad!,"Emo, Trap, SoundCloud Rap","Bad Vibes Forever, Caroline Distribution, Capitol Music Group",English,0.0037730000000000003,3671,John Cunningham,"XXXTentacion, John Cunningham"
Rag'n'Bone Man,Human,"Soul, Blues","Sony Music, Columbia Records",English,0.0015240000000000002,1452,Two Inch Punch,Jamie Hartman
Taylor Swift,I Knew You Were Trouble,"Dance-pop, Pop rock, Teen pop","Big Machine Records, Republic Records",English,0.0038080000000000006,3704,"Max Martin, Shellback","Taylor Swift, Max Martin, Shellback"
Post Malone & Quavo,Congratulations,"Hip Hop, Trap",Republic Records,English,0.001769,1689,"Metro Boomin, Frank Dukes, Louis Bell","Post Malone, Quavo, Carl Rosen"
Drake,Nice For What,"Hip Hop, R&B, Pop","Young Money Entertainment, Cash Money Records",English,0.014515000000000002,14308,"Murda Beatz, Noah '40' Shebib, Corey Litwin, Blaqnmild","Drake, Murda Beatz, Noah '40' Shebib, Corey Litwin, Blaqnmild, Lauryn Hill, Wu-Tang Clan, Marvin Hamlisch, Alan Bergman, Marilyn Bergman"
Alex Clare,Too Close,"Soul, Dubstep, Electronic",Island Records,English,0.001263,1171,"Major Lazer (Diplo and Switch), Ariel Rechtshaid, Mike Spencer","Alex Clare, Jim Duguid"
Flo-Rida,Whistle,Electropop,Atlantic Records,English,0.001771,1679,"DJ Frank E, David Glass","Flo Rida, David Glass, Marcus Killian, Justin Franks, Breyan Isaac, Antonio Mobley"
Bruno Mars,When I Was Your Man,Pop,Atlantic Records,English,0.0017439999999999999,1655,"The Smeezingtons (Bruno Mars, Philip Lawrence, Ari Levine)","Bruno Mars, Philip Lawrence, Ari Levine, Andrew Wyatt"
Ellie Goulding,Burn,Pop,Polydor Records,English,0.004043,3937,"Greg Kurstin, Ryan Tedder","Ryan Tedder, Ellie Goulding, Greg Kurstin, Noel Zancanella, Brent Kutzle"
Capital Cities,Safe And Sound,Indie Pop,Capitol Records,English,0.001288,1213,"Ryan Merchant, Sebu Simonian","Ryan Merchant, Sebu Simonian"
